SARADZHEV, F
CAMPBELLSMITH, A
LLEDO, MA
KENNETH, O
FILIPPOV, VDAAT
TIMOSHENKO, EG
PERELSTEIN, M
RANADA, AF
TRUEBA, JL
SORBO, L
BASEILHAC, P
GRANGE, P
KIM, I
NAUD, J
NEMENMAN, I
GUTOWSKI, J
HARMARK, T
PAWLOWSKI, J
TOK, T
SKOULAKIS, S
LAUGHLIN, RB
GIULIANO, D
WHITE, O
CRUZ, W
SEBA, S
DATE, G
VENEZIANO, EOG
BERNUI, A
GOMERO, GI
KAWAI, S
SAKAGAMI, M
SODA, J
BARVE, S
CLANCY, D
TAVAKOL, R
CHU, S
SCHLICHTER, C
SCHILLING, K
LUSCHER, M
CHUNG, DJH
DOSCH, HG
RITBERGEN, TV
VERMASEREN, JAM
BORDES, J
KINNEY, WH
DYNIN, A
HATAYAMA, G
CLEMENTEGALLARDO, J
FOLLANA, E
SANGUINETTI, G
ROSA, L
KIM, SW
GANGULY, AK
PAL, PB
BATTYE, RA
BORUNDA, M
JEGERLEHNER, F
LUNIN, O
SADZIKOWSKI, M
PASTON, SA
S, JP
MATEOS, D
IVANOV, VG
KOIDE, T
MARUYAMA, M
TAKAGI, F
MANZONI, LA
WIDYAN, H
PANCHAPAKESAN, N
JARAMILLO, DE
MUNOZ, JH
MATVEEV, VA
MOROSOV, A
BOOTH, MJ
LEE, DJ
WU, ZC
SOTKOV, GM
LONGHI, G
MATERASSI, M
VERHOEVEN, O
COHEN, AG
KAGANOVICH, AB
ORS, BK
ZHAO, W
HENNING, PA
CHRISTENSEN, M
ABBASPUR, R
HASCHKE, O
VARADARAJAN, VSV
EVANS, TS
MUELLER, AS
FREED, D
METIKAS, G
ALBUQUERQUE, LCD
JAEKEL, C
KASE, H
NOVOTNY, J
KROLIKOWSKI, W
QIU, Z
ANTONENKO, SA
SOKOLOV, AI
MITRA, A
BHATTACHARJEE, P
AFSHORDI, N
KHODJASTEH, K
ANDERSEN, KH
BOHR, T
JENSEN, MH
DANCHEV, DM
NISHINO, A
ILINSKAIA, A
ULKOV, VA
ORLOV, EV
SHALAEV, BN
BURGARD, C
BORCHERS, H
BAKER, J
KHANNA, G
TIGLIO, MH
LIDDLE, AR
AOYAMA, T
GOLTERMAN, MFL
CHIKU, S
ESPOSITO, EP
PERSSON, JHD
CHKAREULI, JL
GOGOLADZE, IG
EISENBERG, JM
RAMOS, RO
LI, A
ASAEDA, M
HAAGERUP, U
RIEFFEL, M
BELOROUSSKI, P
PANDHARIPANDE, R
SHKLYAROV, D
SINELSHCHIKOV, S
VAKSMAN, L
VERBOVETSKY, A
BARRON, K
HOELL, A
SCHMIDT, S
BYRD, MS
VLAEV, SJ
CHERVYAKOV, A
GAITAN, F
JOOS, E
MIRI, F
GOLESTANIAN, R
ILIEV, BZ
ALONSO, LM
MEDINA, E
SANTINI, PM
TJIANG, PC
AMARAL, RLPGD
BUCHEL, A
KOSHELEV, AS
PETTORINO, R
PEZZELLA, F
GUIJOSA, A
LU, W
AKUZAWA, T
RAETZEL, O
CORDARO, F
GUALTIERI, L
RASTELLI, L
HONG, J
KANG, S
MUKAI, T
CHUNG, JM
CHUNG, BK
TSIMPIS, D
SHAHVERDIYEV, SS
LEE, TH
LACHAPELLE, J
ALLEN, BH
XULU, SS
FONSECA, PD
FERNANDO, S
KUBO, M
MAKI, Z
NAKAHARA, M
DEGER, S
KAYA, A
DERIX, M
FREIDEL, L
LINHARES, CA
HAHN, SC
GANGOPADHYAYAA, A
MALLOW, JV
VARELA, V
BALAZ, A
BELIC, A
BOGOJEVIC, A
COHN, JD
LI, L
GOTT, JR
MANNHEIM, PD
DIEHL, HW
SHPOT, M
CAUX, J
BOUCAUD, P
MARTINMAYOR, V
CALAN, CD
RUIZLORENZO, JJ
QUICK, RM
SHARAPOV, SG
SILVA, S
SIJACKI, D
CRISPINO, LCB
SAKAMOTO, K
SHIRAISHI, K
BURIC, M
CURCI, G
DAMBROSIO, E
CHIU, T
ZHANG, RJ
CASTRO, GL
PESTIEAU, J
SARID, U
KHLEBNIKOV, S
TKACHEV, I
GHILENCEA, D
ALLEN, TJ
OLSSON, MG
VESELI, S
TAMBURINI, F
ABBATI, MC
MANIA, A
KRASULIN, A
BORODIN, A
HURTUBISE, JC
MARKMAN, E
MISHEV, YP
HANNABUSS, K
HAMEREN, AV
REZNIK, YAB
MCKAY, J
BLOM, J
RAPOSO, EP
POLICASTRO, G
ECHOLS, R
GRAY, JP
BERMAN, S
THOMASSEN, JB
WALTHER, U
MAZUMDAR, A
HASHIMOTO, M
KHURI, NN
WU, TT
GONORAZKY, S
SILVA, G
POHLMEYER, K
NATTI, ERT
KERMAN, AK
HILLMAN, D
HATANAKA, H
LIM, CS
GUSTAFSSON, H
RESTUCCIAN, A
GOECKELER, M
SCHUECKER, T
GRAF, GM
JULIA, BL
MARTINEZ, C
GIANZO, D
GREBENIUK, MA
CAFFO, M
CZYZ, H
LAPORTA, S
ASAKAWA, T
RYDER, LH
MUCK, W
JAFFE, R
MANES, J
CAMINO, JM
KOH, S
COUSSAERT, O
MUELLER, A
ZACH, M
ZAKHAROV, VI
KEURENTJES, A
MCKENZIESMITH, JJ
GOLENISHCHEVAKUTUZOVA, M
SU, J
DELAMOTTE, B
JING, S
NELSON, CA
IQBAL, A
GRILLO, S
LEWIS, MA
SILVA, EVC
NETO, JFM
MUDROV, A
VARNASHEV, K
MOSSA, S
DEMLER, E
EVESON, SP
GRADY, M
BILLYARD, AP
COLEY, AA
HOOGEN, RJVD
FAGUNDES, HV
BRAUN, VM
HEINRICH, G
KUNSZT, Z
VOGELSANG, W
NIEVES, JF
POKORSKI, S
POKORSKI, W
HORMUZDIAR, JN
PISANTI, O
PERROTTET, M
HADJIMICHEF, D
KREIN, G
SZPIGEL, S
VEIGA, JSD
BORCHERS, HJ
YNGVASON, J
DREYER, O
FLORIG, M
SUMMERS, SJ
POLTEROVICH, I
HAUSEL, T
BOHM, G
SUPERIORE, LBLN
SCIAMA, DW
TROST, J
ESCOBAR, T
NAPPI, CR
FABBRICHESI, M
KAZAKOV, KA
TEKMEN, M
IOANNIDOU, TA
ZAGERMANN, M
NAIK, S
ACATRINEI, CS
HAGGIMANI, P
PADMA, R
BEKAERT, X
PRZESZOWSKI, JA
MENDEZ, F
CARDENAS, V
LEPE, S
SAAVEDRA, J
RANGAMANI, M
UMENO, Y
SHIROISHI, M
HOMMA, Y
OKEEFFE, D
WALHOUT, TS
KANNO, M
UENO, M
YAMAKOSHI, H
ANGELOPOULOS, E
LAOUES, M
JUCHEM, S
OSBORN, JC
TOUBLAN, D
OCHS, S
HAACK, M
MATSUO, T
ANTONOV, D
MORARA, M
EFIMOV, GV
NEDELKO, SN
ROBINS, H
TANNENHAUSER, J
SPAANS, M
BRANCO, J
LIU, L
BEGLIUOMINI, R
BOWERS, ME
KHALATNIKOV, IM
SASAKI, DGG
CHRISTIANSEN, H
PRATA, JN
MORATO, LM
PROKUSHKIN, S
GAO, Y
SEGRE, G
LEE, SY
TONCHEV, NS
DARGIS, P
MENDEZ, C
SIMONIN, JM
KUHNE, RW
ROVELLI, R
XUE, SS
D, DV
MULL, CD
AGNESE, AG
CAMERA, ML
UPADHYA, P
ITIN, Y
MAIA, J
MONTESINOS, M
THIMM, A
WANG, C
GABRIELLI, D
TORNQVIST, NA
KARMANOV, VA
ENQVIST, K
KAINULAINEN, K
STRUMIA, A
RATNAWEERA, A
BOEDEKER, D
NACHTMANN, O
PAVLOV, V
STARINETS, A
LIU, X
WASSERMANN, A
MERKULOV, SA
ZHARKOV, I
THOMAS, RP
JOYCE, D
BALLESTEROS, A
KVINIKHIDZE, AN
BLANKLEIDER, B
DE, MVII
SANTOS, LF
ESCOBAR, CO
KATZ, SD
SZABO, LE
TOFIGHI, A
ROGATKO, M
NASIR, SM
NAVARRO, P
DEATH, PD
NEST, M
KOVACS, S
KHORRAMI, AMGM
KERNPHYSIK, FAUMF
GUSEV, YV
CARUSO, F
PAOLA, RD
MANOGUE, CA
DRAY, T
BARASHENKOV, IV
PELINOVSKY, DE
BREMER, M
BIGAZZI, F
REINA, C
ZAMPA, A
ROSALES, JJ
LUBO, M
THATCHER, MJ
SAKAMOTO, J
HEIKE, Y
SIDHARTH, BG
DEFFAYET, C
PANIGRAHI, P
BROECK, CVD
REALL, HS
MANO, S
FABBRI, D
HOU, D
WANG, E
TIEBER, G
ALVAREZ, ETG
GAIOLI, FH
ARCIONI, G
DUMOIT, J
PERKINS, M
BENTIN, R
SARKISSIAN, G
SANTOS, FC
TENORIO, A
TORT, AC
HARTMANN, B
PENA, C
SIOPSIS, G
LIN, Q
ZIMA, VG
FEDORUK, SO
NUNEZ, HRCC
PESTOV, AB
SAHA, B
OLOUGHLIN, MJ
SCRUCCA, C
APARICIO, JP
FUERTES, WG
LIMASANTOS, A
PALO, K
VIRTANEN, S
HANDRICH, G
NOWAK, C
FRADKIN, D
PRUNET, S
BRICMONT, J
CVITANOVIC, P
DETTMANN, CP
MAINIERI, R
VATTAY, G
YING, HP
NIEUWENHUIZEN, TM
HUNTER, CJ
CIUHU, C
TICHY, W
YAZADJIEV, S
TENTYUKOV, MN
TSULAIA, MM
KONTOLEON, N
HART, A
HAYMAKER, RW
ICHIE, H
GAVAI, RV
BIRSE, MC
MCGOVERN, JA
RICHARDSON, KG
WANG, J
GREENE, PB
KRISHNASWAMI, GS
ANANTHANARAYAN, B
TAHIR, F
SADIQ, M
MUGHAL, MA
AHMED, K
YOKOYAMA, J
SKALOZUB, V
WEIGLEIN, G
SCHIEBER, GE
ATAKISHIYEV, NM
JAFAROV, EI
NAGIEV, SM
WOLF, KB
HINTERDING, R
BYERS, N
SANTOS, RB
CINI, M
MOLINA, C
KASHTANOV, SS
COHEN, E
GRANIK, A
GOGILIDZE, S
ILIEVA, N
LIPARTIA, E
TANAKA, S
DUAN, Y
LI, S
CHO, I
CHERNYAK, V
CALDARELLI, MM
KLEMM, D
SHAROV, GS
THIRRING, W
HILBORN, RC
KAMELA, M
MODERSKI, R
HOOFT, GT
BULGADAEV, SA
CASANA, R
ORMSBY, B
SUTCLIFFE, PM
JEONG, MG
RABADAN, R
NIBBELINK, SG
DUECHTING, N
DRIESEN, L
FROMM, J
KUHRS, J
PRONKO, GP
ALTSCHULER, D
TAMARIAN, SN
FLOHR, MAI
POPOVIC, DS
PENNAFIRME, A
ZIZZI, PA
PENGPAN, T
HALL, BKDBC
EDERY, A
CREAGH, SC
KRASOVSKY, IV
TORCINI, A
ANTONI, M
DOUSSAL, PL
SAVAGE, A
ANDERSEN, JO
MAULBETSCH, C
HUBENY, VE
BORDE, A
HORVATH, I
LEONE, M
MAGRADZE, B
SUN, CP
ZHOU, DL
KINOSHITA, T
PIROGOV, YF
ZENIN, OV
KAISER, DI
POLLOKNARAYANAN, A
KRASILSHCHIK, J
GROSS, B
KOSTANT, B
STERNBERG, S
GARISTO, R
HARDY, L
MARTINI, R
VANINSKY, KL
BERRUTO, F
XU, T
HORAN, R
TSUKAHARA, H
ACTOR, AA
NITTOH, K
EBIHARA, T
TERASHIMA, H
MURADIAN, R
STEER, DA
AYALA, A
PAGE, P
ZEBARJAD, M
AKULOV, VP
BENEDETTI, R
BEHREND, R
PETKOVA, V
ASPROULI, M
GALANGONZALEZ, V
CARPI, C
VALENT, G
TUTUTI, ES
BABAEV, E
ARIMITSU, T
BUDINICH, P
NAMYSLOWSKI, JM
KINAR, Y
SCHREIBER, E
CORNEY, SP
MCANALLY, DS
TRAUTMAN, A
KAUFFMAN, S
STEPANYANTZ, KV
ZAKIR, Z
ALTENDORFER, R
HASHIBA, J
KOMAROV, DA
TORRES, J
CHRISTIANSEN, J
GOSDZINSKY, P
STARUSZKIEWICZ, A
SOBREIRA, AAR
NEGRAO, MR
GANI, VA
KUDRYAVTSEV, AE
KOLESNIKOV, AV
EFETOV, KB
WEIGEL, M
VERNIZZI, G
REZAYI, E
SANTOSUOSSO, K
POLLNEY, D
PELAVAS, N
BINOSI, D
KASSANDROV, VV
RIZCALLA, JA
POMERANSKY, AA
PINTONETO, N
OOTSUKA, T
ZEZE, S
KUSHNIR, V
VELYTSKY, A
GREGORY, EB
HAGIWARA, K
SZALAPSKI, R
UMEDA, Y
COVI, L
WICK, SD
GEORGI, H
HILL, CT
MOLODTSOV, SV
SNIGIREV, AM
ZINOVJEV, GM
THOMAS, GL
HERSCOVITZ, VE
SCHAT, CL
PARRY, M
WIESBOCK, HW
PARANJAPE, K
PATI, V
CZERHONIAK, P
ADAMOVIC, D
DONEV, SG
KORFF, C
LANG, G
SCHRADER, R
THIENEL, HP
BENDER, C
MEISINGER, P
CRONSTROM, C
SILVEIRA, FEMD
BHATTACHARYYA, R
GODDARD, P
FRIEDLAND, A
MAIA, MD
MONTE, EM
MARTINOVIC, L
GORENSTEIN, MI
SHELEST, VP
KAPUSTNIKOV, A
ULANOV, S
RAITERI, M
ALVES, N
YANG, G
MARACHEVSKY, VN
LEITE, EE
VOLOSHIN, M
MAJOR, SA
KALAYCI, J
NUTKU, Y
STARUSZKIEWICZ, AJ
HASSELMANN, K
SCHAFKE, A
BRACE, D
LOVAS, I
ALVES, VS
PINHEIRO, SVL
HABA, Z
MISKOVIC, O
BALAN, A
SANDSTROM, N
GABRIELLI, E
GAVELA, B
HELFER, AD
LANG, ASID
NISHIMURA, M
KULIK, B
PARK, IY
MAKEENKO, YM
MASLANKA, P
NAMBU, Y
GERGANOV, B
KUROKAWA, H
HOFMANN, R
SCHUMANN, M
VIOLLIER, RD
GRUNBERG, G
MOTTER, AE
SEPANGI, HR
KONOPELCHENKO, BG
LANDOLFI, G
FRANCESCHI, GD
ARINGAZIN, AK
KIHARA, H
AHLIG, S
KARAT, E
CHEN, C
SPLITTORFF, K
MARINO, E
BOYER, CP
GALICKI, K
CHACKO, Z
PONTON, E
MIEMIEC, A
PEEBLES, PJE
CHAUDHURY, R
KIM, DH
LEE, PA
VENTURA, E
BERTOLAMI, O
BASSETT, B
FABRIS, JC
PELINSON, AM
LOHIYA, D
ROBERTS, MD
BILLER, SD
BRESLIN, AC
BUCKLEY, J
CATANESE, M
CARSON, M
CARTERLEWIS, DA
CAWLEY, MF
FEGAN, DJ
FINLEY, J
GAIDOS, JA
HILLAS, AM
KRENNRICH, F
LAMB, RC
LESSARD, R
MASTERSON, C
MCENERY, JE
MCKERNAN, B
MORIARTY, P
QUINN, J
ROSE, HJ
SAMUELSON, F
SEMBROSKI, G
SKELTON, P
WEEKES, TC
FAKIR, R
GALANTE, A
NEGELE, JW
CAPITANI, S
SOMMER, R
SALGADO, J
BLUMLEIN, J
KURTH, S
LAMPE, B
DREMIN, IM
PAES, JTS
NETO, MJS
KITAEV, AV
LEE, KSM
KY, NA
FABER, C
TALUKDAR, B
IOFFE, M
A, DN
FUR, I
JORAS, SE
GIBSON, GN
BERGQUIST, KJ
PATEL, A
DODONOV, VV
KUDASHEV, VR
SULEIMANOV, BI
MUKHOPADHYAYA, B
TABUNSHCHYK, KV
ARKHIPOV, VV
KUDUSOV, AS
ARINGAZIN, KM
BASKOUTAS, S
OGUSHI, S
HOLLMANN, HR
STEWART, JM
SEIF, B
PRADHAN, RK
MEDVED, AJM
SALO, P
SANTOS, FCSAC
CATTO, S
HUNTLEY, J
MOH, NJ
TEPPER, D
ANDRADE, LCGD
HONG, S
ROPKE, G
ARRIOLA, ER
ZHOU, B
GURSOY, U
BHATTACHARYA, S
ARUTYUNOV, G
FROLOV, S
SAVELIEV, M
PAPOYAN, VV
SMIRICHINSKI, VI
BEGIN, L
CUMMINS, C
YOSHIOKA, K
MUDROV, AI
VARNASHEV, KB
IONESEI, G
RAZAZNEJAD, B
BATTISTEL, OA
PARK, I
BRIZOLA, A
SISSAKIAN, A
POLSHIN, S
SCANDURRA, M
YDRI, B
EDEN, B
TALALOV, SV
RUNKEL, I
HE, Y
PALAMARCHUK, K
RAUGAS, M
MARTELLI, D
BONNET, G
HOTTA, T
FOTOPOULOS, A
GUBSER, S
WEIDIG, T
BRUNGS, D
DAWID, R
FEINERMAN, O
MOURAMELO, WA
ALBRECHT, A
MAGUEIJO, J
EICHLER, D
GUZMAN, FS
VILLEGASBRENA, H
AGUIRRE, AN
MILLER, JH
ORDONEZ, C
PRODAN, E
ALTLAND, A
SIMONS, BD
LASSIG, M
LAL, S
RACZ, I
GUNZIG, E
NARDONE, P
ROBBINS, D
OHTA, T
MARTIN, R
SUNEETA, V
CRISCUOLO, A
WAELBROECK, H
SVETITSKY, B
IOFFE, BL
SCHOONDERWOERD, N
HUBER, S
GAMBINO, P
MADRICARDO, F
SCHAFER, A
MATHEWS, P
RAYCHAUDHURI, S
SRIDHAR, K
KIM, K
SALISBURY, DC
SHEPLEY, LC
ISAAC, PS
MAJID, S
OECKL, R
BARANOVSKY, V
ROY, SM
SINGH, V
AGUILAR, MA
SOCOLOVSKY, M
FUSI, C
ADER, J
KHAVAEV, A
HORIKOSHI, A
ZAVIALOV, OI
MALOKOSTOV, AM
PERADZE, G
DUVIRYAK, A
KOKORELIS, CE
PANZA, N
TRETYAK, V
TSUKANOV, VD
KYLIN, RD
BRYANT, RL
SHARPE, ER
STEFANSKI, B
F, SCF
YASUDA, T
WEHNER, A
MISRA, A
GAIDA, R
YAREMKO, Y
FRAMPTON, PH
DAPPOLONIO, G
RITUS, VI
SHPYTKO, V
IAGOLNITZER, D
VIANO, GA
LICCARDO, A
HOU, X
GOERLICH, L
OSETRIN, KE
MIKHAILOV, AY
NA, ES
DOBREV, VK
KUIROUKIDIS, A
KLEIDIS, K
PAPADOPOULOS, DB
KENNEDY, C
MYRZAKULOV, R
ZEN, FP
ELIM, HI
ZHANG, B
PESKOV, NA
NETO, AM
VIANNA, JDM
TAKAHASHI, Y
HALBERSMA, R
OHTAKE, Y
KHUDYAKOV, VV
MAMSUROV, IV
MITTER, PK
SCOPPOLA, B
WIESBROCK, HW
WANG, L
RAMIREZ, J
JACOBSEN, JL
LEWIS, M
CACCIUTO, A
CARDY, J
HOD, S
SCHLEICH, K
SHARAN, U
PULLIRSCH, R
WATSON, NJ
PAVLOPOULOS, P
RIGOLIN, S
DELGADO, A
ROBERTS, J
LLEDO, F
KRONHEIMER, PB
MROWKA, TS
DORAN, CF
ANDERSEN, A
PEDERSEN, HJ
FLAMBAUM, VV
ZELEVINSKY, VG
TRIFONOV, D
NIKOLIC, H
BILODEAU, D
ZEH, HD
WOSPAKRIK, HJ
KOREPANOV, IG
FERNANDEZ, V
GRAHAM, CR
NOVOZHILOV, YV
MORIYAMA, S
KHOLODENKO, AL
NAGAHIRO, H
UCHIDA, S
SIMOES, M
KALININ, DA
ACATRINEI, C
UVAROV, DV
ZHELTUKLHIN, AA
PUZIO, R
PHYSIK, HSRF
BAKER, L
GRANDI, N
SINGER, M
RYBAKOV, YP
TARABAY, AM
CHUGUNOV, IG
BALEANU, D
GULER, Y
LAZAR, M
ROBASCHIK, D
TOMASIELLO, A
DELIGNE, P
BORASOY, B
OUYANG, P
MOHTA, V
HOLLANDS, S
MUELLERPREUSSKER, M
OSTROWSKI, A
SOLOVIEV, O
OLIVEIRA, ERD
SAITO, MH
TAKAHASHI, A
CHEW, GF
HOLTEN, JV
SASAKI, M
RAJU, TS
ALCARAZ, FC
XAVIER, JC
RAKOS, A
KARASIK, D
LEDERER, Y
VANZELLA, DAT
DRECHSLER, W
KAMENSHCHIK, A
GARCIA, RS
MORNINGSTAR, CJ
PEARDON, M
HSIEH, T
BONINI, GF
TSUJIKAWA, S
YATES, A
LEE, SJ
HRABAK, SP
YE, R
KOGA, Y
RAZMI, H
ABBASSI, AH
WOO, CH
KAWABE, H
SCHULZ, BJ
DASTIDAR, TKR
DASTIDAR, KR
SANTORELLI, P
SAVVIDY, K
HUERTA, M
KIRSCHNER, R
KOSYAKOV, BP
FOMIN, PI
KUZMENKO, TY
ABEL, SA
FREITAS, AD
SALAMO, S
FUKUOKA, Y
FENG, S
WANG, Z
QIU, X
YAMAGUCHI, S
WANG, B
FEDOTOV, AM
MUR, VD
NAROZHNY, NB
BELINSKII, VA
KARNAKOV, BM
OH, JJ
PARK, JH
GUBANKOVA, E
MENG, X
MAGPANTAY, JA
MUELLER, VF
KISKIS, J
MERSINI, L
SHUSTER, E
STROHMAIER, A
VESELOV, AP
COTSAKIS, S
HONDA, Y
YASUE, M
HOOYDONK, GV
FLOREA, B
MCNEES, R
HYAKUTAKE, Y
ARAKELYAN, SA
SATO, N
SHIVELY, WF
ABDURRAHMAN, A
LARA, C
ACOSTA, JN
KATZ, E
ZHUKOV, S
SANTOS, OR
THOMAZ, MT
HAMMOU, A
NASSERI, F
NAYERI, A
GRUZBERG, IA
KOU, SP
WANG, XB
MATTONI, A
TROMBETTONI, A
SHI, YLMMD
ZHANG, F
GIULINI, D
HANSEN, RN
SORKIN, R
SUDARSKY, D
GALLOWAY, GJ
WITT, DM
WOOLGAR, E
CHARMOUSIS, C
FARCHIONI, F
POGREBKOV, AK
VLASOV, AY
BENZVI, D
PUGLIESE, F
VINOGRADOV, A
HARA, Y
ULYANOV, VV
FUKUSHIMA, N
REGNAULT, N
LIMA, E
FOFFA, S
FLORES, GH
GRILLO, N
NAKAWAKI, Y
NELSON, A
PAULINCAMPBELL, A
NIKISHOV, AI
LOEWY, A
MURATORI, B
SONG, JS
HANNIBAL, L
SANCHEZRUIZ, D
LLEDO, SFAMA
FUCHS, E
SAMI, M
MEHRA, A
DIVAKARAN, PP
SALMONS, S
KLISHEVICH, S
TAKAHASHI, K
IIDA, S
STRIGAZZI, P
GOESNEGRAO, MS
PENNAFIRME, AB
MORAES, LMD
REGINI, M
KIM, BS
EKSTRAND, C
PINDOR, M
DUBOVSKY, SL
GORBUNOV, DS
TOWNSEND, P
ZAMAKLAR, M
LAVIGNAC, S
KONDRASHUK, I
SASTRY, RR
RIDOUT, D
SLUSARCZYK, M
BAIN, P
SCHMIDT, JR
MARTINEZACOSTA, R
SATI, H
ODA, S
RNO, JS
CHAMBLIN, HA
KAJIURA, H
TOKUNAGA, T
CHO, S
CATALDO, M
CABO, A
AMEZAGA, A
PINTER, G
MILLER, SD
KOUNEIHER, J
NOACK, RM
ARRIGONI, E
SALGADO, RB
PAURI, M
VALLISNERI, M
FEO, A
KIRCHNER, R
LUCKMANN, S
SPANDEREN, K
WESTPHALEN, J
WEISZ, P
RINGWALD, A
SCHREMPP, F
ALEXANDER, S
PINEDA, A
BOOS, E
WEINZIERL, S
CULLEN, S
MAXIMOV, AE
MIKHAILOV, SV
BASAGOITI, MAV
SINGER, MA
HORMESS, M
CONTEDINI, M
HOYE, JS
BROUDER, C
LING, Y
SHIIKI, N
GRANT, AK
AKHMETSHIN, AA
VOLVOVSKI, YS
YI, X
CAO, Y
SHAN, L
ZHU, D
KORS, B
KALDASS, H
TELL, N
HOOF, KV
BADAGNANI, D
WICKRAMASEKARA, S
KIELANOWSKI, P
SHAPIRO, I
ARMENDARIZPICON, C
PICKERING, AGM
ENNES, I
SCHNITZER, H
GOMEZREINO, M
LANGLANDS, RP
SAINTAUBIN, Y
NATANZON, SM
EVSLIN, J
WANG, JE
LEE, W
FU, L
JIA, G
VORONTSOVA, EG
KAO, Y
VAZQUEZPORITZ, JF
C, J
SPRADLIN, M
PARK, JS
NOBRE, FAS
MOAYEDI, SK
ULRYCH, S
COHEN, A
BRINNE, B
HASLER, D
LEITGEB, R
DRUKKER, N
SHIGETOMI, K
POGHOSSIAN, RH
KUMAR, S
VORONOV, BL
KASTE, P
KOSOWSKY, A
OTOOLE, C
ELLIS, GFR
NUNES, NJ
VERMA, MK
SALAS, J
SOKAL, AD
KOMINEAS, S
VISSER, JPM
TUNG, RS
MONTES, X
SANTIAGO, DI
BERGQVIST, G
SENOVILLA, JMM
RIDEOUT, DP
BOGOSLOVSKY, GY
GOENNER, HF
YU, H
SHIMABUKURO, H
NAGASAWA, M
CRUZPACHECO, G
PADILLA, P
SMYTH, NF
PERAZZI, E
CERDENO, DG
SLINGERLAND, JK
LIBGOBER, A
ZANARDI, P
SCIAMA, D
PRESKILL, J
DUBROVIN, BA
HOUGHTON, CJ
CALUCCI, G
DAVIES, NM
BLAS, H
KARANIKAS, AI
KTORIDES, CN
BIRKE, L
PAOLA, RDMD
RODRIGUES, RB
VLASOV, GV
SCHELP, R
SANTOS, MA
CORREIA, J
SHIBUSA, Y
ZASLAVSKY, A
SALWEN, N
ROMELSBERGER, C
CONSTABLE, NR
EI, SI
TERZI, N
BARDEEN, J
ZUNGER, Y
NELSON, B
RODRIGUES, W
DUCATI, G
DEMINOV, MM
SILVA, IPCE
KJAERGAARD, L
BOGAERTS, J
LOO, SVD
GILS, SV
CARRILLO, JAE
MOSTEPANENKO, V
SADRZADEH, A
SCURO, SR
MORENO, JM
TSURUMARU, T
MOTTERSHEAD, J
EASSON, DA
BENA, I
QUADRI, A
BRITTOPACUMIO, R
PAK, DG
FATEEV, VA
MELCHIORRI, A
VERNIZZI, F
SANDVIK, H
STEER, D
ANTONOV, NV
HNATICH, M
NALIMOV, MY
MUCCIOLO, ER
KRIVE, IV
WU, CH
FRANKLIN, JS
BENTO, MC
DOMINGUEZ, AE
GEN, U
SIBIRYAKOV, SM
VANCHURIN, V
CHELUVARAJA, S
JEANNEROT, R
BRHLIK, M
KANE, GL
CHISHTIE, FA
STEELE, TG
STEINKE, R
SON, DT
SAWIN, SF
BAILEY, DH
WOODWARD, C
GRATUS, J
SUNILKUMAR, V
KOROTCHENKO, KB
FURUTSU, H
URAZMETOV, WF
ABRIKOSOV, AA
MARCHETTI, FM
LIMA, JAS
FLECK, M
IRWIN, PW
VERGELES, SN
LEADER, E
PETKOU, A
SCHAEFFER, R
ALBERGHI, GL
KLIMENKO, S
NIKITIN, I
GUSTAVSSON, A
NOLLAND, D
MCINNES, B
SOLOMON, D
MATLOCK, P
IMBIRIBA, BCO
ALI, A
HERDEIRO, CAR
SEKIYA, S
OVARLEZ, G
MAJUMDER, J
RAO, K
KAKE, T
FJELSTAD, J
MEDEIROS, DM
LANDIM, RR
KONDO, KI
TAIRA, Y
HELLER, M
SASIN, W
FINKELSTEIN, RJ
DEVETAK, I
GRIMSTRUP, JM
TYTGAT, MHG
SABIDO, M
YAN, M
PARKHOMENKO, S
TIGHE, JF
ZARIKAS, V
HARTMAN, MA
TAYLOR, CC
NOGRADI, D
VARGA, D
WAGNER, F
MARRERO, PJ
ROURA, EA
CHAN, G
SUN, J
KOBES, R
SEKI, S
ERICKSON, J
ROIBAN, R
OSTAF, S
ZHELTUKHIN, K
FOCK, V
PAKMAN, RL
PERROTTA, F
BACCIGALUPI, C
MATARRESE, S
AVELINO, PP
MARTINS, CJAP
LIVIO, M
BAHCALL, N
OSTRIKER, JP
PERLMUTTER, S
RICCITERSENGHI, F
RUIZLORENZO, J
ZULIANI, F
GREEN, D
RIPALDA, JM
LIEBLING, SL
BRUNI, M
SONEGO, S
ROURA, A
DADHICH, N
BJORAKER, J
BOJOWALD, M
SCHRAMM, F
GOUR, G
LUCINI, B
MONTESI, L
POSPELOV, M
ROSATI, F
HUITU, K
KOUNO, H
HASEGAWA, A
NAKANO, M
TUCHITANI, K
CLINE, JM
SERVANT, G
FREESE, K
FIORESI, R
GRITSENKO, V
ANCHISHKIN, DV
FRANKEL, S
PERES, A
SAVAGE, VM
ONO, T
YUFEN, L
ZHONGQI, M
BOYUAN, H
RAMALLO, A
LYSOV, BA
DOROFEYEV, OF
SEKINO, Y
KLUSON, J
BACHMANN, M
PELSTER, A
SHIRZAD, A
KAZAKOV, V
GARAVAGLIA, T
MAURO, D
ZUCKER, M
MICHISHITA, Y
ILAKOVAC, A
KOLANOVIC, M
GUNARA, BE
MUHAMAD, R
HUTASOIT, DP
RIDA, A
SAMI, T
ROJAS, M
